site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,213,-0.138020787,18.5,10.4,2.408219178
LCR_res,213,-0.763332387,28.9,0.6,1.723287671
LCR_res,213,-0.690765949,29.5,0.5,0.78630137
LCR_res,213,-0.045792013,30,-0.2,0.093150685
LCR_res,213,0.230333415,29.8,0,0.005479452
LCR_res,214,-1.765189259,27.2,0.5,0.695890411
LCR_res,214,-0.445092814,27.7,5.3,3.887671233
LCR_res,215,-0.61658148,19.4,6.6,2.082191781
LCR_res,215,-0.453085734,26,1.2,2.035616438
LCR_res,216,0.072295171,10.4,1.1,0.071232877
LCR_res,216,1.222912149,11.5,4.3,0.367123288
LCR_res,216,-1.900872244,15.8,2.2,0.654794521
LCR_res,216,1.372713117,18,2.9,0.339726027
LCR_res,216,-1.313481334,20.9,1.1,0.701369863
LCR_res,217,-0.277738413,13.8,-0.6,0.073972603
LCR_res,218,-0.211054285,28.2,-0.2,0.002739726
LCR_res,219,-1.698656883,17.6,0.9,0.709589041
LCR_res,220,1.04044357,19,-0.1,0.008219178
LCR_res,220,1.222912149,18.9,2.1,0.367123288
LCR_res,221,-0.277738413,18.2,0,0.073972603
LCR_res,221,-0.817950389,18.2,2.6,0.923287671
LCR_res,221,-1.484403016,20.8,1.4,0.630136986
LCR_res,221,-0.472615129,22.2,3.7,1.961643836
LCR_res,222,-0.270832103,22.1,0.3,0.076712329
LCR_res,222,-2.127185796,22.4,0.1,0.575342466
LCR_res,222,-0.477947764,22.5,1.6,0.978082192
LCR_res,222,0.239738586,24.1,0.1,0.073972603
LCR_res,222,0.595271229,24.2,-0.3,0.005479452
LCR_res,223,-1.740968247,15.1,3.3,0.701369863
LCR_res,224,1.222912149,16,1.2,0.367123288
LCR_res,224,-1.049726569,17.2,3.2,1.632876712
LCR_res,224,-0.446034295,20.4,1.4,0.95890411
LCR_res,224,0.542114897,21.8,1.4,0.073972603
LCR_res,225,1.222912149,11.9,2.6,0.367123288
LCR_res,226,-0.281253077,22.5,0.1,0.079452055
LCR_res,226,-2.159500951,22.6,-0.1,0.567123288
LCR_res,226,1.34702783,22.5,1.5,0.347945205
LCR_res,226,-0.862817213,24,2.2,1.589041096
LCR_res,226,0.541336128,26.2,0.8,0.073972603
LCR_res,227,-0.782629125,16.8,4.1,0.994520548
LCR_res,228,1.032279911,27.5,-0.3,0.002739726
LCR_res,228,1.224360701,27.2,0.8,0.364383562
LCR_res,229,1.218920868,14,2.3,0.375342466
